experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,0.07916259765625,0.99,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,36.78125,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,33.09375,0.0,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,14.1953125,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,17.734375,0.01,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,10.859375,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,12.3828125,0.02,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,6.5859375,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,6.33984375,0.05,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,4.76953125,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,4.37890625,0.1,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,3.787109375,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,3.462890625,0.2,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,3.2109375,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,2.912109375,0.3,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,2.6796875,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,2.4453125,0.4,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,2.205078125,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,2.01953125,0.5,0.2
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,1.7548828125,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,1.6015625,0.6,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,1.3203125,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,1.2109375,0.7,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,0.89453125,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,0.8193359375,0.8,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,0.48193359375,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,0.443359375,0.9,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,0.275146484375,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,0.2489013671875,0.95,0.5
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,0.154541015625,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,0.135009765625,0.98,0.5
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,10000,0.11376953125,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,10000,0.0802001953125,0.99,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,121.625,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,207.125,0.0,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,51.09375,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,57.1875,0.01,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,34.8125,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,31.734375,0.02,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,18.828125,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,11.96875,0.05,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,50000,13.0703125,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,50000,5.50390625,0.1,1.0
